CityNo;City;Country;Population;Area in km2 
1;Amsterdam;Netherland;851573;219,32
2;Athens;Greece;664046;2929
4;Barcelona;Spain;1620809;101,4
4;Berlin;Germany;3711930;891,7
5;Bratislava;Slovakia;424428;367,6
6;Brussels;Belgium;1191604;161,38
7;Budapest;Hungary;1779361;525,2
8;Copenhagen;Denmark;602481;88,25
9;Dublin;Ireland;527612;115
10;Edinburgh;Scotland;482005;264
11;Geneva;Switzerland;198979;15,92
12;Hamburg;Germany;1822445;755
13;Helsinki;Finland;631695;184,5
14;Krakow;Poland;765320;327
15;Lisbon;Portugal;504718;100
16;Ljubljana;Slovenia;279631;163,8
17;London;England;8825000;607
18;Luxembourg;Luxembourg;590667;2586,4
19;Lyon;France;506615;47,87
20;Madrid;Spain;3141991;604,3
21;Milan;Italy;1370074;181,76
22;Munich;Germany;1456039;310,43
23;Oporto;Portugal;214349;41,42
24;Oslo;Norway;634293;454
25;Paris;France;2206488;105,4
26;Prague;Czech;1301132;298
27;Rome;Italy;2868782;1285
28;Stockholm;Sweden;952058;188
29;Vienna;Austria;1889083;414,6
30;Warsaw;Poland;1764615;517
31;Zurich;Switzerland;409241;87,93
